AFF_LOVE_POINT	Punct de dragoste: %d%%
EMOTION_CAPRITA	Cãpriþã
EMOTION_LIMBI	Limbuþe
EMOTION_SUGI	Sugi
EMOTION_BANI	Valoare
EMOTION_MORI	M-ai dat pe spate
EMOTION_PUMN	Pumn
EMOTION_PICIOR	Picior
EMOTION_MISTOCAR	Miºtocar
EMOTION_CERSETOR	Cerºetor
DICE_SYSTEM_TITLE	Panou barbut
DICE_TITLE	Barbut cu %s
TARGET_BUTTON_DICE	Barbut
COMMAND_MAP1	Map1
TARGET_BUTTON_KICK	Kick
TARGET_BUTTON_MUTE	Mute
MESSENGER_TEAM	Echipã
TITILE_DESC_1	To unlock this title you need to kill x10 Dog's.
TITILE_DESC_2	To unlock this title you need to kill x10 Wolf's.
TITILE_DESC_3	To unlock this title you need to kill x10 Boar's.
TITILE_DESC_4	To unlock this title you need to kill x10 Bear's.
TITILE_DESC_5	To unlock this title you need to kill x10 Tiger's.
TITILE_DESC_6	To unlock this title you need to kill x10 Cung-Mok's.
TITILE_DESC_7	To unlock this title you need to kill x10 Mu-Rang's.
TITILE_DESC_8	To unlock this title you need to kill x10 Jug-Hyul's.
TITILE_DESC_9	To unlock this title you need to kill x10 Young-Ji's.
TITILE_DESC_10	To unlock this title you need to kill x10 Li-An's.
TITILE_DESC_11	To unlock this title you need to kill x10 Lykos's.
TITILE_DESC_12	To unlock this title you need to kill x10 Scrofa's.
TITILE_DESC_13	To unlock this title you need to kill x10 Bera's.
TITILE_DESC_14	To unlock this title you need to kill x10 Tigris's.
TITILE_DESC_15	To unlock this title you need to kill x10 Mi-Jung's.
TITILE_DESC_16	To unlock this title you need to kill x10 Eun-Jung's.
TITILE_DESC_17	To unlock this title you need to kill x10 Se-Rang's.
TITILE_DESC_18	To unlock this title you need to kill x10 Jin-Hee's.
TITILE_DESC_19	To unlock this title you need to kill x10 Mahon's.
TITILE_DESC_20	To unlock this title you need to kill x10 Bo's.
TITILE_CHOOSE	Choose
TITILE_NAME_0	[Bronze]
TITILE_NAME_1	[TikTok]
TITILE_NAME_2	[Aggressive]
TITILE_NAME_3	[Mad]
TITILE_NAME_4	[Diamond]
TITILE_NAME_5	[Gold]
TITILE_NAME_6	[Sumo]
TITILE_NAME_7	[Platinum]
TITILE_NAME_8	[Master]
TITILE_NAME_9	[Silver]
TITILE_NAME_10	[Bad]
TITILE_NAME_11	[Emerald]
TITILE_NAME_12	[Cruel]
TITILE_NAME_13	[Chellenger]
TITILE_NAME_14	[Demon]
TITILE_NAME_15	[Grand Master]
TITILE_NAME_16	[Devil]
TITILE_NAME_17	[VIP]
TITILE_NAME_18	[Forious]
TITILE_NAME_19	[Wild]
TITILE_NAME_20	[YouTube]
RECV_TITLE_ANSWER_0	Unknown error.
RECV_TITLE_ANSWER_1	This title is already choosed.
RECV_TITLE_ANSWER_2	This title isn't learned yet.
RECV_TITLE_ANSWER_3	The new title preference was saved.
CHAT_OPEN_LINK_DANGER	Atentie: Acest link poate contine un virus!
CHAT_OPEN_LINK	Doresti sa deschizi acest link ?
CHANGE_LOOK_FAILURE_CLEAN	Acest element nu a fost inca transmutat.
CHANGE_LOOK_DO_YOU_CLEAN	Doriti sa elimitati itemul transmutat ?
CHANGE_LOOK_CHANGE_ITEM	Doriti sa transmutati acest element ?
CHANGE_LOOK_COST	Yang-ul a fost scos.
CHANGE_LOOK_DEL_ITEM	Obiectul absorvit va fi distrus.
CHANGE_LOOK_TITLE	Transmutare
STATUS	Update Status
TOOLTIP_BUYPRICE_FREE	Pret: Gratis
MINIGAME_FISH_EVENT_ADD_ACCEPT	Vrei sa adaugi?
MINIGAME_FISH_EVENT_DROP_ACCEPT	Esti sigur ca doresti sa arunci acest obiect?
MINIGAME_FISH_EVENT_REWARD_MSG	Ai primit %s.
MINIGAME_FISH_EVENT_USE_ACCEPT	Vrei sa folosesti asta?
BLACK_ONLINE	|cff00CC00|Hemp|hJucatori Online:|h|r
BLACK_SARI	|cffFDD017|Hemp|hChunjo:|h|r
BLACK_KIRMIZI	|cffFF0000|Hemp|hShinsoo:|h|r
CHARACTER_CREATE_MODE	Creaza Caracter
CHARACTER_SELECT_MODE	Selecteaza Caracter
CHARACTER_CREATE_MALE	Masculin
CHARACTER_CREATE_FEMALE	Feminin
CHARACTER_CREATE_APPEARANCE1	Aspect 1
CHARACTER_CREATE_APPEARANCE2	Aspect 2
INTRO_SELECT_LEVEL	Lv. %d
EMPIRE_SELECT	Selecteaza
EMPIRE_SELECT_MODE	Alege Regatul
HANDELN_FRAGE1	System negociaza !
HANDELN_FRAGE2	Aceste iteme nu o sa le poti recupera.
HANDELN_FRAGE3	O data acceptat nu raspunde echipa pentru pierderea itemelor.
HANDELN_FRAGE4	Esti sigur ca vrei sa faci aceasta tranzactie?
HANDELN_FRAGE5	PS: Daca vrei apasa pe DA daca nu renunta pe NU !
SWITCHBOT_TITLE	Switchbot
SWITCHBOT_START	Start
SWITCHBOT_STOP	Stop
SWITCHBOT_EMPTY_ATTR	- Nici un bonus -
SWITCHBOT_SELECT_ATTR	Selectati atributul
SWITCHBOT_CLEAR_ATTR	Elimina
SWITCHBOT_CONFIGURATION_TITLE	Setari Salvate
SWITCHBOT_SAVE_BUTTON	Deschideti Memoria
SWITCHBOT_SAVE	Salveaza
SWITCHBOT_LOAD_CONFIGURATION	Incarca
SWITCHBOT_CLEAR_CONFIGURATION	Sterge
SKILL_COLOR_SELECT_FIRST	Alege Culoarea.
SKILL_COLOR_PICK_TOOLTIP	Choose the desired color for %s. (HEX Code : %s)
SKILL_COLOR_PRESET_TOOLTIP_TITLE	Color Preset
SKILL_COLOR_PRESET_TOOLTIP_1	You can save a choosen color for your skill.
SKILL_COLOR_PRESET_TOOLTIP_2	Save the chosen color and if you need the color again
SKILL_COLOR_PRESET_TOOLTIP_3	just select the color code from the list.
SKILL_COLOR_CUSTOM_HEX_CODE_TOOLTIP_TITLE	Color Code
SKILL_COLOR_CUSTOM_HEX_CODE_TOOLTIP_1	You can input a custom color hex code.
SKILL_COLOR_CUSTOM_HEX_CODE_TOOLTIP_2	For example #FFFFFF (White)
SKILL_COLOR_DO_YOU_RESET	Do you want to reset the color of your skill?
SKILL_COLOR_DO_YOU_CHANGE	Vrei sa schimbi culoarea skill-ului?
SKILL_COLOR_SELECT_PRESET	Selecteaza Culoarea
SKILL_COLOR_SELECT_PRESET_NONE	No saved colors
SKILL_COLOR_CANNOT_SAVE	You cannot save any more colors.
EMOJI_CHARACTER_STATS_ADD	|Eemoji/key_ctrl|e + |Eemoji/key_lclick|e - Adauga x10	
LESSSYSTEM	Numar Ucideri: %s 
TARGET_INFO_DAMAGE	Damage : %s - %s
TARGET_INFO_DEFENSE	Defence : %s
TARGET_INFO_EXP	Expierence : %s
TARGET_INFO_MAINRACE	Race : %s
TARGET_INFO_MAX_HP	Max. HP : %s
TARGET_INFO_NO_ITEM_TEXT	No Items droppable.
TARGET_INFO_NO_RACE	None
TARGET_INFO_RACE_METIN	Stone
TARGET_INFO_RACE_ANIMAL	Animal
TARGET_INFO_RACE_DARK	Darkness
TARGET_INFO_RACE_DEVIL	Devil
TARGET_INFO_RACE_EARTH	Earth
TARGET_INFO_RACE_ELEC	Lightning 
TARGET_INFO_RACE_FIRE	Fire
TARGET_INFO_RACE_HUMAN	Half Human
TARGET_INFO_RACE_ICE	Ice
TARGET_INFO_RACE_MILGYO	Mystic 
TARGET_INFO_RACE_ORC	Orcs
TARGET_INFO_RACE_UNDEAD	Undead
TARGET_INFO_RACE_WIND	Wind
TARGET_INFO_STONE_NAME	Ghoststone
TARGET_INFO_SUBRACE	Subspecies : %s
